title,year,length,budget,rating,mpaa,genres
$windle,2002,93,NA,5.3,R,"action, drama"
'R Xmas,2001,83,NA,4.9,R,drama
100 Mile Rule,2002,98,1100000,5.6,R,comedy
13 Dead Men,2003,85,NA,2.2,R,action
13 Going On 30,2004,98,37000000,6.4,PG-13,"drama, comedy, romance"
13 Moons,2002,93,NA,5.6,R,comedy
15 Minutes,2001,120,42000000,6.1,R,drama
19 Months,2002,77,NA,5.3,R,comedy
2 Fast 2 Furious,2003,107,76000000,5.1,PG-13,action
2009: Lost Memories,2002,136,NA,6.6,R,"action, drama"
2046,2004,129,12000000,7.6,R,"drama, romance"
21 Grams,2003,124,20000000,8,R,drama
24 Hour Party People,2002,117,NA,7.2,R,"drama, comedy"
25th Hour,2002,135,15000000,7.8,R,drama
29 Palms,2002,93,NA,4.7,R,"drama, comedy"
2BPerfectlyHonest,2004,88,NA,7.3,R,"drama, comedy"
3-Way,2004,88,NA,4.6,R,drama
30 Years to Life,2001,110,NA,5.1,R,"drama, comedy, romance"
3000 Miles to Graceland,2001,125,62000000,5.4,R,"action, comedy"
40 Days and 40 Nights,2002,96,17000000,5.4,R,"drama, comedy, romance"
"4th Tenor, The",2002,97,NA,4.2,PG-13,"comedy, romance"
50 First Dates,2004,99,75000000,6.8,PG-13,"comedy, romance"
"51st State, The",2001,92,28000000,6.1,R,"action, comedy"
5x2,2004,90,NA,6.6,R,"drama, romance"
8 Mile,2002,110,41000000,6.8,R,drama
8 femmes,2002,111,NA,7.1,R,comedy
800 balas,2002,124,NA,6.5,R,comedy
AKA,2002,123,NA,6,R,drama
AVP: Alien Vs. Predator,2004,102,45000000,5.4,PG-13,action
Abandon,2002,99,25000000,4.7,PG-13,drama
Ablaze,2001,97,NA,3.6,R,"action, drama"
About Schmidt,2002,125,30000000,7.3,R,"drama, comedy"
About a Boy,2002,101,27000000,7.5,PG-13,"drama, comedy"
Absolon,2003,96,8000000,4.1,R,action
According to Spencer,2001,95,NA,4.1,R,"comedy, romance"
"Actors, The",2003,91,NA,5.6,R,comedy
Acts of Worship,2001,94,NA,6.2,R,drama
Adaptation.,2002,114,19000000,7.9,R,"drama, comedy"
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,PG-13,"action, comedy"
"Affair of the Necklace, The",2001,118,NA,6,R,drama
After the Sunset,2004,97,58000000,6,PG-13,"action, comedy"
Against the Ropes,2004,111,NA,5.2,PG-13,drama
Agent Cody Banks,2003,102,26000000,5.5,PG,"action, comedy"
Agent Cody Banks 2: Destination London,2004,100,26000000,3.8,PG,"action, comedy"
"Agronomist, The",2003,90,NA,7.3,PG-13,documentary
Aileen: Life and Death of a Serial Killer,2003,89,NA,7.2,R,documentary
Air Marshal,2003,90,500000,3,R,action
"Alamo, The",2004,137,95000000,5.9,PG-13,"action, drama"
Alex & Emma,2003,96,NA,5.3,PG-13,"drama, comedy, romance"
Alex in Wonder,2001,96,NA,6.3,R,drama
Alexander,2004,175,150000000,5.5,R,drama
Alfie,2004,103,60000000,6,R,"drama, comedy"
Ali,2001,165,107000000,6.4,R,drama
Ali G Indahouse,2002,88,NA,5.8,R,comedy
Alien Hunter,2003,92,NA,5,R,action
Alive,2004,85,NA,3.9,R,"drama, comedy"
All About You,2001,100,NA,6.2,PG,"drama, comedy, romance"
All About the Benjamins,2002,95,14000000,5.4,R,"action, comedy"
All Night Bodega,2002,90,NA,5.7,R,drama
All Over the Guy,2001,95,NA,6.4,R,"comedy, romance"
All the Queen's Men,2001,105,25000000,5,PG-13,"action, drama, comedy"
All the Real Girls,2003,108,1000000,6.8,R,"drama, romance"
Almost Salinas,2001,92,NA,6.4,PG,"drama, comedy"
Alone in the Dark,2005,96,20000000,2.1,R,action
Along Came Polly,2004,90,42000000,5.8,PG-13,"comedy, romance"
Along Came a Spider,2001,104,28000000,6.1,R,drama
Amandla! A Revolution In Four Part Harmony,2002,108,NA,7.3,PG-13,documentary
Amar te duele,2002,104,NA,7.1,R,"drama, romance"
Amazons and Gladiators,2001,89,NA,4,R,"action, drama"
America's Sweethearts,2001,102,48000000,5.8,PG-13,"comedy, romance"
American Adobo,2001,104,NA,4.3,R,comedy
American Chai,2001,92,NA,6.1,R,"drama, comedy"
American Gun,2002,89,NA,6,R,drama
American Outlaws,2001,94,35000000,5.5,PG-13,"action, comedy"
American Pie 2,2001,105,30000000,6.3,R,comedy
"American Rhapsody, An",2001,106,NA,7,PG-13,drama
American Splendor,2003,101,NA,7.8,R,"drama, comedy"
American Wedding,2003,103,55000000,6.3,R,comedy
Amy's Orgasm,2001,87,NA,5.3,R,"comedy, romance"
Analyze That,2002,96,NA,5.5,R,comedy
"Anarchist Cookbook, The",2002,101,NA,5.5,R,"drama, comedy, romance"
Anchorman: The Legend of Ron Burgundy,2004,104,26000000,6.5,PG-13,comedy
Ancient Warriors,2001,93,NA,3.8,R,action
And Now... Ladies and Gentlemen...,2002,122,NA,5.8,PG-13,"drama, romance"
Angel Eyes,2001,102,38000000,5.6,R,"drama, romance"
Angela,2002,91,NA,5.8,R,"drama, romance"
Anger Management,2003,106,75000000,6,PG-13,comedy
"Anglaise et le duc, L'",2001,125,NA,6.8,PG-13,drama
"Animal, The",2001,84,22000000,4.8,R,comedy
"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,PG-13,"action, animation, short"
"Anniversary Party, The",2001,115,NA,6.4,R,"drama, comedy"
Antitrust,2001,108,30000000,6,PG-13,drama
Antwone Fisher,2002,117,12500000,7.4,PG-13,drama
Anything Else,2003,108,18000000,6.5,R,"comedy, romance"
Aquanoids,2003,78,NA,2.2,R,action
Ararat,2002,115,NA,7.1,R,drama
Are We There Yet?,2005,95,32000000,3.5,PG,comedy
"Arena, The",2001,92,NA,2.8,R,"action, drama"
Around the Bend,2004,85,NA,6,R,drama
Around the World in 80 Days,2004,120,110000000,5.7,PG,"action, comedy, romance"
Art Heist,2004,98,NA,3.8,R,action
Art of Revenge,2003,88,NA,4.6,R,drama
Artificial Intelligence: AI,2001,146,90000000,6.8,PG-13,drama
Artworks,2003,96,NA,6.1,R,"drama, romance"
"Aryan Couple, The",2004,120,NA,7.4,PG-13,drama
Ash Wednesday,2002,98,NA,5.5,R,drama
Asoka,2001,169,NA,6.5,R,"action, drama, romance"
Assassination Tango,2002,114,NA,6.1,R,drama
"Assassination of Richard Nixon, The",2004,95,NA,7.1,R,drama
Assault on Precinct 13,2005,109,20000000,6.3,R,"action, drama"
Atanarjuat,2001,168,NA,7.3,R,drama
Atlantis: The Lost Empire,2001,95,90000000,6.4,PG,"action, animation"
"Auberge espagnole, L'",2002,117,NA,7.3,R,"drama, comedy, romance"
Austin Powers in Goldmember,2002,94,63000000,6.2,PG-13,"action, comedy"
Auto Focus,2002,105,7000000,6.7,R,drama
Avalon,2001,106,8000000,6.8,R,"drama, animation"
Avenging Angelo,2002,96,NA,4.6,R,"action, comedy"
"Aviator, The",2004,170,116000000,7.5,PG-13,drama
Baby Boy,2001,130,16000000,6.2,R,"drama, romance"
BachelorMan,2003,87,NA,5.1,R,comedy
"Back Lot Murders, The",2002,90,NA,3.7,R,comedy
Bad Boys II,2003,145,130000000,6.1,R,"action, comedy"
Bad Company,2002,116,70000000,5.4,PG-13,"action, comedy"
Bad Santa,2003,98,18000000,7.2,R,comedy
"Badge, The",2002,103,6000000,6.3,R,"action, drama"
Ball in the House,2001,95,NA,5.8,R,"drama, comedy"
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,R,drama
Ballistic: Ecks vs. Sever,2002,91,70000000,3.4,R,action
Bandits,2001,123,80000000,6.7,PG-13,"drama, comedy, romance"
"Banger Sisters, The",2002,98,10000000,5.6,R,"drama, comedy"
Baptists at Our Barbecue,2004,92,500000,5.9,PG,"comedy, romance"
Baran,2001,94,NA,7.8,PG,"drama, romance"
Barbershop,2002,102,12000000,6.6,PG-13,"drama, comedy"
Barbershop 2: Back in Business,2004,106,18000000,5.7,PG-13,comedy
Bark!,2002,100,NA,4.3,R,comedy
Bartleby,2001,83,NA,6.1,PG-13,"drama, comedy"
Basic,2003,98,50000000,6.2,R,drama
"Battle of Shaker Heights, The",2003,90,1000000,6,PG-13,"drama, comedy, romance"
BattleQueen 2020,2001,95,NA,2.9,R,action
"Baxter, The",2005,91,NA,9.1,PG-13,"drama, comedy, romance"
Be Cool,2005,118,53000000,5.5,PG-13,comedy
"Beautiful Country, The",2004,137,6000000,6.9,R,drama
"Beautiful Mind, A",2001,135,60000000,7.8,PG-13,drama
